brand,model,color,description,price,price_gel,compare_at_price,sizes,product_url
HEAD,Sprint Pro 4.0,"light gray, purple","Maximize your performance with the Sprint Pro 4.0 Clay HEAD's Sprint Pro 4.0 Clay is the ultimate choice for any tennis player striving for peak performance on clay courts. Thanks to the combination of high-quality synthetics and breathable mesh in the upper, this shoe not only offers excellent durability, but also optimal ventilation during intense matches. With its specially developed EVA insole and robust rubber outsole, the Sprint Pro 4.0 Clay offers excellent cushioning and reliable traction on clay courts. Perfect your game with a shoe designed for performance. Highlights: Robust upper material: synthetic and mesh ensure durability and breathability. Optimized traction: The rubber outsole guarantees excellent grip on clay courts. Comfortable cushioning: EVA insole supports with excellent shock absorption. Discover the difference that specialized footwear can make in the game of tennis with the Sprint Pro 4.0 Clay.",116.95 €,625,160.00 €,"40, 40,5, 41, 42, 42,5, 43, 44, 44,5, 45, 46, 46,5, 47, 48, 48,5",https://www.tennis-point.de/products/head-sprint-pro-40-sandplatzschuh-herren-hellgrau-lila-p0000004230201
HEAD,Sprint Pro 4.0,"red, dark red","Discover the Sprint Pro 4.0 Clay for maximum performance on clay courts. With the Sprint Pro 4.0 Clay tennis shoes from HEAD you can reach new performance heights on the clay courts. These shoes, specially developed for the requirements of the clay court, combine advanced technologies with the highest level of comfort. The synthetic and mesh upper guarantees optimal ventilation and keeps your feet cool and dry even during the most intense matches. The sophisticated construction provides maximum stability and support, while the flexible EVA insole provides excellent cushioning that protects and supports with every step. Highlights: Breathable Material: Synthetic and mesh provide superior ventilation. Optimal cushioning: EVA insole for the best possible comfort and shock absorption. Clay Court Specific Design: Rubber outsole for excellent traction on clay. Let the Sprint Pro 4.0 Clay tennis shoes take you to a new level of your playing ability.",114.95 €,615,160.00 €,"40, 40,5, 41, 42, 42,5, 43, 44, 44,5, 45, 46, 46,5, 47, 48, 48,5",https://www.tennis-point.de/products/head-sprint-pro-40-sandplatzschuh-herren-rot-dunkelrot-p0000004231501
ASICS,Gel-Resolution X,"pink, white","Ultimate grip on the clay court with the GEL-RESOLUTION X Reach your full potential on the court with the GEL-RESOLUTION X from ASICS. As a specially developed clay court shoe, it offers you the perfect combination of stability and flexibility. The upper material made of polyurethane and synthetic material ensures excellent support and durability, while the breathable textile interior ensures a comfortable foot climate. The EVA insole ensures optimal cushioning and comfort. The sturdy rubber outsole also provides excellent traction on sandy surfaces, so you can perform at your best in every match on the clay court. Highlights: Stability and flexibility - Perfect mix for an unshakable hold on the clay court Breathable comfort - Textile inner material for a finely tuned foot climate Excellent traction - Rubber outsole for maximum grip during rapid movements Discover the GEL-RESOLUTION X tennis shoes now and dominate the game on the clay court.",127.95 €,675,160.00 €,"40,5, 41,5, 42, 42,5, 43,5, 44, 44,5, 45, 46, 46,5, 47, 48, 49, 50,5",https://www.tennis-point.de/products/asics-gel-resolution-x-sandplatzschuh-herren-pink-weiss-p0000001280303
On,THE ROGER ADV Pro,"mint, white","Maximum playing comfort on the tennis court Experience the ultimate tennis pleasure with THE ROGER ADV Pro Clay tennis shoes. These shoes, specially developed for the clay court, offer you a perfect combination of lightness and durability. The breathable textile upper provides optimal ventilation so you can fully concentrate on your game. The durable rubber outsole offers excellent grip, while the EVA insole ensures a high level of comfort. The Roger Advantage Pro series combines functionality with style and offers you exactly the support you need on the pitch. Highlights: Maximum breathability: textile upper for fresh feet Excellent grip: rubber outsole for a secure grip on the clay court Ergonomic comfort: EVA insole for long-lasting comfort Increase your performance on the tennis court with THE ROGER ADV Pro Clay and experience the difference.",154.95 €,800,170.00 €,"40, 40,5, 41, 42, 42,5, 43, 44, 44,5, 45, 46, 47, 47,5, 48, 49",https://www.tennis-point.de/products/on-the-roger-adv-pro-sandplatzschuh-herren-mint-weiss-p0000003190501
K-Swiss,HYPERCOURT SUPREME 2 Clay,"blue, white","Maximum power for your clay court game Do you want to impress with speed and control on the clay court? Then the K-Swiss Hypercourt Supreme 2 is exactly your shoe. The Hypercourt series from K-Swiss stands for explosive movements, sporty dynamics and uncompromising comfort - developed for players who put pressure on every point. The Hypercourt Supreme 2 combines all of this in an advanced, modern design with an optimized fit and improved responsiveness. Thanks to the outsole specially designed for clay courts, you can enjoy the best possible traction and stability - no matter how fast your sprints and slides are. Cushioning technology keeps you feeling fresh and responsive even during long matches. With the K-Swiss Hypercourt Supreme 2 you dominate the game from the baseline to the net - with style, comfort and full control. Highlights at a glance Pure clay court performance - specially profiled outsole for optimal grip during quick changes of direction Maximum energy return - responsive cushioning for explosive movements Sporty comfort - breathable materials and perfect fit for hours of comfort",129.95 €,685,169.99 €,"41, 41,5, 42, 42,5, 43, 44, 44,5, 45, 46, 47, 49",https://www.tennis-point.de/products/k-swiss-hypercourt-supreme-2-clay-sandplatzschuh-herren-blau-weiss-a0000004310601
Diadora,Speed Blushield Fly 5,"petrol, black","Maximum performance on the clay court Discover the SPEED BLUSHIELD FLY 5 CLAY - the tennis shoe that was specially designed for demanding clay court matches. With its highly developed Speed ​​Blushield technology, this shoe from Diadora guarantees the highest level of comfort and agility. The durable synthetic upper provides excellent support while being breathable to keep your feet cool and dry even during intense play. The rubber outsole ensures perfect grip on the clay court, allowing you to move quickly and safely. Highlights: Advanced technology: Integrated Speed ​​Blushield technology for optimal mobility and stability. Robust upper material: Breathable synthetic material ensures durability and comfort. Optimal traction: Special rubber outsole for excellent traction on clay courts. Rely on the SPEED BLUSHIELD FLY 5 CLAY and play the best tennis of your life!",89.95 €,405,150.00 €,"41, 42, 42,5, 43, 44, 44,5, 45, 45,5, 46, 47, 47,5, 48, 49",https://www.tennis-point.de/products/diadora-speed-blushield-fly-5-sandplatzschuh-herren-petrol-schwarz-p0000003981501
Diadora,B.Icon 3,"turquoise, white","Dynamic clay court shoe for maximum performance The Diadora B.Icon 3 clay court shoe men was developed for tennis players who need maximum stability, cushioning and traction on clay courts. The specially adapted clay court outsole offers optimal grip and enables quick changes of direction on the court. Thanks to DD Anima cushioning technology, the shoe provides excellent energy return and springy comfort with every step. The durable and breathable upper keeps your feet cool, while reinforced heel and toe areas provide additional protection and support. Your advantages at a glance: Clay court outsole - for optimal support and stability on clay courts DD Anima cushioning - for responsive comfort and reduced stress Breathable, durable upper material - for long-lasting comfort With the Diadora B.Icon 3 clay court shoe men you are well equipped to take your game on clay courts to the next level!",144.95 €,755,165.00 €,"41, 42, 42,5, 43, 44, 44,5, 45, 45,5, 46, 47, 47,5, 48, 49",https://www.tennis-point.de/products/diadora-bicon-3-sandplatzschuh-herren-tuerkis-weiss-a0000003981401
Mizuno,Wave Exceed Tour 7,"blue, white","Experience new highlights on the court with the Wave Exceed Tour 7 The Wave Exceed Tour 7 from Mizuno takes your tennis games to the next level. Featuring a high-quality synthetic upper and a flexible rubber outsole, this shoe offers outstanding stability and slip resistance on clay courts. The breathable textile inner material and the EVA insole guarantee optimal comfort and effective cushioning with every step. With its dynamic design, the Wave Exceed Tour 7 is not only functional, but also stylish. Highlights: Optimum stability: Synthetic and rubber materials ensure a secure hold. High wearing comfort: Breathable textile and EVA insole provide first-class cushioning. Stylish design: Modern and functional for the best look while doing sports. Let the quality and performance of the Wave Exceed Tour 7 convince you!",99.95 €,545,150.00 €,"39, 40, 40,5, 41, 42, 42,5, 43, 44, 44,5, 45, 46, 47",https://www.tennis-point.de/products/mizuno-wave-exceed-tour-7-sandplatzschuh-herren-blau-weiss-07217601228000
ASICS,Solution Swift FF 2,"white, pink","Perfect for your game on clay The ASICS Solution Swift FF 2 Clay is not just a shoe, but an indispensable tool for every tennis lover. Designed to provide optimal performance on sandy surfaces, it features a special herringbone rubber compound that ensures an ideal combination of traction and glide. These features allow you to move effortlessly across the court while maintaining control of your movements. Aside from its technical sophistication, the Solution Swift FF 2 Clay also features a breathable upper, meaning the foot stays cool and dry, even during intense play under the scorching sun. With this shoe on your feet, you can push your limits and unleash your full potential on the clay court. The highlights of the ASICS Solution Swift FF 2 Clay High comfort Upper material Inner material Sole Herringbone pattern for grip",75.95 €,350,120.00 €,"40, 40,5, 41,5, 42, 42,5, 43,5, 44, 44,5, 45, 46, 46,5, 47, 48, 49, 50,5",https://www.tennis-point.de/products/asics-solution-swift-ff-2-sandplatzschuh-herren-weiss-pink-a0000002390301
Fila,Sabbia Pro,"white, red","Professional performance on clay The Fila Sabbia Pro clay court shoe was specially developed for performance-oriented players who expect stability, dynamics and comfort at the highest level on the clay court. With its special clay court outsole, it offers optimal grip for controlled slides and explosive accelerations - exactly what you need for your best game on clay. The durable upper material with breathable inserts ensures a pleasant foot climate, even during long matches. At the same time, the cushioning midsole guarantees effective shock absorption and a responsive running feeling - ideal for quick changes of direction and intensive rallies. Highlights: Clay court profile: Optimal traction and controlled sliding on ash Breathable upper material: For comfort and ventilation under high loads Efficient cushioning: Protects joints and supports dynamic play Reinforced zones: More support and stability during fast movements With the Fila Sabbia Pro clay court shoe you are ready for precise, powerful performances on the red sand - comfortable, controlled and full of joy.",102.95 €,560,140.00 €,"40, 41, 42, 43, 44, 45, 46, 47",https://www.tennis-point.de/products/fila-sabbia-pro-sandplatzschuh-herren-weissrot-00317501271000
HEAD,Endure Pro,"dark blue, dark blue","Maximum performance on the clay court. Discover the perfect symbiosis of comfort and performance with the Endure Pro Clay from HEAD. These specially designed men's tennis shoes are designed for the serious clay court player. With an upper made of high-quality synthetic and breathable mesh, the Endure Pro Clay ensures optimal ventilation and comfortable wearing, even during heated matches. The innovative rubber outsole guarantees maximum grip and stability on the court, meaning you stay in control at all times. Complemented by a synthetic and TPU insole, you will experience an unparalleled combination of flexibility and support. Highlights: High-performance material: Developed with synthetics and mesh for breathable comfort Special sole: Rubber outsole for optimal grip on clay courts Innovative insole: Combination of synthetics and TPU supports flexibility and foot strength Your playing partner for winners - the Endure Pro Clay from HEAD offers the ideal support for your tennis game on clay.",125.95 €,665,180.00 €,"40, 40,5, 41, 42, 42,5, 43, 44, 44,5, 45, 46, 46,5, 47, 48, 48,5",https://www.tennis-point.de/products/head-endure-pro-sandplatzschuh-herren-dunkelblau-dunkelblau-p0000004230501
adidas,adizero Ubersonic 5,"orange, silver","Experience agility and comfort on the clay court! With the adizero Ubersonic 5 Clay from adidas you are unbeatable on clay courts. The light material mix of textile and synthetic ensures breathability and comfort, while the clay court sole offers optimal grip. Ideal for players who value speed and flexibility on the pitch. Highlights: Lightweight and breathable design for long-lasting comfort. Specially developed sole for clay court performance. Ideal for dynamic players who want to dominate their opponents.",94.95 €,525,150.00 €,"40, 40 2/3, 41 1/3, 42, 42 2/3, 43 1/3, 44, 44 2/3, 45 1/3, 46, 46 2/3, 47 1/3, 48, 48 2/3, 50",https://www.tennis-point.de/products/adidas-adizero-ubersonic-5-sandplatzschuh-herren-orange-silber-00517606860000
Lotto,Raptor 300 CLY,"white, orange","Maximum performance with the Raptor 300 CLY Discover the perfect combination of comfort and stability with the Raptor 300 CLY tennis shoes from Lotto. These shoes, specially developed for clay courts, offer excellent grip on the court thanks to their high-quality synthetic upper material and robust rubber sole. The textile inner lining guarantees a pleasant foot climate during intensive match phases. Optimized with an EVA insole, you'll experience excellent cushioning and energy efficiency with every step. The Raptor 300 CLY is your ideal partner for demanding tennis games and increases your performance through technical sophistication and thoughtful design. Highlights: Optimal traction: Robust rubber sole for maximum grip on clay courts Ergonomic fit: Textile lining and EVA insole ensure comfort and support Durable upper material: High-quality synthetic ensures durability and breathability Increase your enjoyment and performance with the Raptor 300 CLY - design and technology that takes you further.",107.95 €,585,120.00 €,"40, 40,5, 41, 42, 42,5, 43, 43,5, 44, 45, 45,5, 46, 47",https://www.tennis-point.de/products/lotto-raptor-300-cly-sandplatzschuh-herren-weiss-orange-p0000004201101
Lotto,Mirage 200 II PRT SPD,"dark blue, white","Perfection on the clay court Take your tennis game to a new level with the MIRAGE 200 II PRT CLY from Lotto. Designed specifically for clay courts, this tennis shoe offers an unbeatable combination of comfort and stability. The upper material made of high-quality synthetic and textile ensures a perfect fit and long-lasting durability. The innovative EVA cover sole guarantees efficient cushioning with every step, while the profiled rubber outsole offers optimal grip on the clay court. Don't let bad weather or slippery surfaces stop you - with the MIRAGE 200 II PRT CLY you're ready for any match. The sporty silhouette and modern design give you an unbeatable appearance on the tennis court. Highlights: Comfortable fit: thanks to the high-quality synthetic and textile material. Efficient cushioning: EVA insole for optimal support and shock absorption. Fantastic grip: Special rubber outsole for maximum grip on clay courts. Treat yourself to the MIRAGE 200 II PRT CLY and dominate the clay court like never before.",79.95 €,365,129.99 €,"39, 40, 40,5, 41, 42, 42,5, 43, 43,5, 44, 45, 45,5, 46, 47",https://www.tennis-point.de/products/lotto-mirage-200-ii-prt-spd-sandplatzschuh-herren-dunkelblau-weiss-02417501778000
Lotto,Raptor 300 CLY,"turquoise, white","Maximum performance with the Raptor 300 CLY Discover the perfect combination of comfort and stability with the Raptor 300 CLY tennis shoes from Lotto. These shoes, specially developed for clay courts, offer excellent grip on the court thanks to their high-quality synthetic upper material and robust rubber sole. The textile inner lining guarantees a pleasant foot climate during intensive match phases. Optimized with an EVA insole, you'll experience excellent cushioning and energy efficiency with every step. The Raptor 300 CLY is your ideal partner for demanding tennis games and increases your performance through technical sophistication and thoughtful design. Highlights: Optimal traction: Robust rubber sole for maximum grip on clay courts Ergonomic fit: Textile lining and EVA insole ensure comfort and support Durable upper material: High-quality synthetic ensures durability and breathability Increase your enjoyment and performance with the Raptor 300 CLY - design and technology that takes you further.",107.95 €,585,120.00 €,"40, 40,5, 41, 42, 42,5, 43, 43,5, 44, 45, 45,5, 46, 47",https://www.tennis-point.de/products/lotto-raptor-300-cly-sandplatzschuh-herren-tuerkis-weiss-p0000004201102
ASICS,Gel-Resolution X,"white, pink","Ultimate grip on the clay court with the GEL-RESOLUTION X Reach your full potential on the court with the GEL-RESOLUTION X from ASICS. As a specially developed clay court shoe, it offers you the perfect combination of stability and flexibility. The upper material made of polyurethane and synthetic material ensures excellent support and durability, while the breathable textile interior ensures a comfortable foot climate. The EVA insole ensures optimal cushioning and comfort. The sturdy rubber outsole also provides excellent traction on sandy surfaces, so you can perform at your best in every match on the clay court. Highlights: Stability and flexibility - Perfect mix for an unshakable hold on the clay court Breathable comfort - Textile inner material for a finely tuned foot climate Excellent traction - Rubber outsole for maximum grip during rapid movements Discover the GEL-RESOLUTION X tennis shoes now and dominate the game on the clay court.",115.95 €,620,160.00 €,"40, 40,5, 41,5, 42, 42,5, 43,5, 44, 44,5, 45, 46, 46,5, 47, 48, 49, 50,5",https://www.tennis-point.de/products/asics-gel-resolution-x-sandplatzschuh-herren-weiss-pink-p0000001280304
K-Swiss,Express Light 3 x Quiet Please,"white, green","Anniversary edition with style and performance The K-Swiss Express Light 3 - 25 years TP X K-Swiss Special Edition clay court shoe celebrates a quarter of a century of passion for tennis with an exclusive design and proven functionality. Specially developed for clay courts, it offers optimal traction and stability for dynamic matches on red surfaces. The breathable mesh upper with reinforced overlays ensures a lightweight feel and high durability. The special clay court outsole guarantees perfect grip and enables quick changes of direction without slipping. The reactive cushioning in the midsole protects joints and ensures long-lasting comfort - ideal for intensive game days. Highlights at a glance Exclusive Special Edition: Celebrating 25 years of collaboration between Tennis-Point and K-Swiss Clay court outsole: Maximum traction and stability on red surfaces Lightweight, breathable upper material: Pleasant comfort and high durability With the K-Swiss Express Light 3 - 25 years of TP stylish, functional and unique.",119.95 €,640,119.99 €,"41, 41,5, 42, 42,5, 43, 44, 44,5, 45, 46, 47, 49",https://www.tennis-point.de/products/k-swiss-express-light-3-x-quiet-please-sandplatzschuh-herren-weiss-gruen-a0000004910301
Wilson,Rush Lite 5,"blue, white","Maximum performance on the clay court with the Rush Lite 5 Clay Perfect your tennis game with the Rush Lite 5 Clay from Wilson, the tennis shoe designed specifically for clay courts. Thanks to the high-quality textile and synthetic upper, this shoe combines comfort and durability. The special rubber outsole ensures optimal grip on sand, allowing for quick changes of direction and improved stability. The breathable textile lining keeps your feet cool and dry even during heated matches. With its innovative and targeted support, the Rush Lite 5 Clay delivers the performance you need to dominate on the court. Highlights: Special construction for clay courts: Optimum grip and stability thanks to special rubber outsole. Premium Materials: Combination of textile and synthetic for comfort and durability. Breathability: The textile lining ensures coolness and dryness during play. Experience the professional equipment you need to play your best tennis game.",114.95 €,615,130.00 €,"40, 40 2/3, 41 1/3, 42, 42 2/3, 43 1/3, 44, 44 2/3, 45 1/3, 46, 46 2/3, 47 1/3, 48, 49 1/3",https://www.tennis-point.de/products/wilson-rush-lite-5-sandplatzschuh-herren-blau-weiss-p0000004120302
Wilson,Rush Pro 5,"blue, white","Perfect your tennis game with the Rush Pro 5 Clay Reach new heights on the clay court with the RUSH PRO 5 CLAY from Wilson. This advanced tennis shoe was designed specifically for ambitious players who value speed and precision. The textile and synthetic upper offers an optimal balance between comfort and long-lasting support, while the specially developed rubber outsole provides the necessary traction and stability on clay courts. With its thoughtful construction and adaptable fit, the Rush Pro 5 Clay lets every player play their best tennis. Highlights: Upper material mix: textile and synthetic for durability and breathable comfort Optimized rubber outsole: Offers excellent traction and stability on clay courts Comfort and fit: Ideal for intensive matches thanks to high-quality inner material and well-thought-out cut With the Rush Pro 5 Clay you are always ahead on the court!",144.95 €,755,160.00 €,"40, 40 2/3, 41 1/3, 42, 42 2/3, 43 1/3, 44, 44 2/3, 45 1/3, 46, 46 2/3, 47 1/3, 48, 49 1/3",https://www.tennis-point.de/products/wilson-rush-pro-5-sandplatzschuh-herren-blau-weiss-p0000004120702
K-Swiss,HYPERCOURT EXPRESS 3 Clay,"blue, black","Maximum performance on the court with the HYPERCOURT EXPRESS 3 Clay. Rediscover the world of tennis with the HYPERCOURT EXPRESS 3 Clay from K-Swiss. Designed specifically for clay courts, this tennis shoe combines cutting-edge technology with exceptional comfort. The breathable mesh upper, together with the synthetic reinforcements, ensures an optimal balance of flexibility and support. Thanks to the robust rubber outsole, the shoe offers excellent traction, while the EVA insole cushions every step, making even long-lasting matches a pleasure. Highlights: Breathable Upper: Mesh and synthetic reinforcements keep your feet cool and dry. Optimized traction: The rubber outsole guarantees excellent grip on clay courts. Comfort with every step: The EVA insole provides effective cushioning and improves your performance. Leave your opponents behind with the HYPERCOURT EXPRESS 3 Clay, the synthesis of innovation and style.",112.95 €,605,149.99 €,"41, 41,5, 42, 42,5, 43, 44, 44,5, 45, 46, 47, 49",https://www.tennis-point.de/products/k-swiss-hypercourt-express-3-clay-sandplatzschuh-herren-blau-schwarz-p0000004300803
Joma,Electric,gray,"Discover the power with the ELECTRIC CLAY tennis shoe. Experience the game of tennis in a new dimension with the ELECTRIC CLAY from Joma, your perfect clay court shoe. The combination of high-quality textile and synthetic upper material ensures optimal comfort and durability. The rubber outsole offers you excellent grip on clay courts and supports explosive movements with every shot. With an EVA insole and a breathable textile inner material, you can enjoy maximum comfort even during long matches. This shoe is specifically designed for men who want to perform on the tennis court and look good doing it. Highlights: Optimum traction: The rubber profile sole offers excellent grip on sand Comfortable fit: EVA cover sole for feather-light comfort Longevity: Robust textile and synthetic upper material With the ELECTRIC CLAY tennis shoe you are well equipped for every match.",118.95 €,635,132.00 €,"41, 42, 42,5, 43, 43,5, 44, 44,5, 45, 46, 47",https://www.tennis-point.de/products/joma-electric-sandplatzschuh-herren-grau-15017100231000
ASICS,Solution Speed FF 4,"black, turquoise","Experience speed on the clay court The SOLUTION SPEED FF 4 from ASICS is your perfect companion if you want to dictate the pace on the tennis court. This clay court shoe offers you an unbeatable combination of speed and comfort. The high-quality polyurethane and synthetic upper ensures an ideal fit and durability. Thanks to the innovative rubber outsole, you enjoy optimal grip on the court, while the EVA insole ensures maximum comfort. The textile inner material gives a pleasantly breathable feeling. With the SOLUTION SPEED FF 4 you feel light on your feet and ready to win every rally. Highlights: Top Speed ​​Performance – Experience dynamic freedom of movement like never before. Maximum comfort - The EVA insole provides soft and comfortable support. Grip without compromise - rubber sole ensures perfect grip on clay courts. Get ready to set new standards on the tennis court with the SOLUTION SPEED FF 4.",139.95 €,730,160.00 €,"40,5, 41,5, 42, 42,5, 43,5, 44, 44,5, 45, 46, 46,5, 47, 48, 49, 50,5",https://www.tennis-point.de/products/asics-solution-speed-ff-4-sandplatzschuh-herren-schwarz-tuerkis-p0000001261103
ASICS,Gel-Dedicate 8,"black, gray","Feel and performance in one shoe The GEL-DEDICATE 8 tennis shoe offers good stability and a flexible feel to center the mind during play. The upper of this shoe features synthetic leather overlays that improve support. They keep your feet firmly enclosed even when changing direction and during demanding races. A TRUSSTIC support unit and wrap-up outsole improve stability while giving your feet freedom of movement. This allows you to change direction with confidence, especially when moving from side to side. The highlights of the Gel Dedicate 8 from Asics Durable synthetic leather toe overlays The spun-dyed insole reduces total water consumption by approximately 33% and carbon emissions by approximately 45%. TRUSSTIC technology and wrap-up outsole Improved stability GEL technology Cushioning Excellent shock absorption",61.95 €,290,75.00 €,"40, 40,5, 41,5, 42, 42,5, 43,5, 44, 44,5, 45, 46, 46,5, 47, 48, 49",https://www.tennis-point.de/products/asics-gel-dedicate-8-sandplatzschuh-herren-schwarz-grau-a0000002380501
K-Swiss,Express Light 3,"white, light blue","Power and comfort in one shoe The Express Light 3 from K-Swiss is a lightweight tennis shoe designed for on-court performance and a high level of comfort. This updated model of its successful predecessor features DuraWrap Flex, a redesigned, molded RPU construction that provides flexible support and draft protection. Inside, a well-padded collar provides comfort and stability, while a die-cut foam insole provides responsive cushioning underfoot. The Express Light 3 has an HB outsole with a deep herringbone tread pattern for excellent traction on clay courts. The highlights of the K-Swiss Express Light 3 Upper made of synthetic leather Textile lining on the shaft edge Molded rubber outsole CMEVA midsole Ortholite insole Lacing",89.95 €,405,119.99 €,"41, 41,5, 42, 42,5, 43, 44, 44,5, 45, 46, 47, 49",https://www.tennis-point.de/products/k-swiss-express-light-3-sandplatzschuh-herren-grau-khaki-a0000004310402
K-Swiss,EXPRESS LIGHT 3 Clay,"black, blue","Power and comfort in one shoe The Express Light 3 from K-Swiss is a lightweight tennis shoe designed for on-court performance and a high level of comfort. This updated model of its successful predecessor features DuraWrap Flex, a redesigned, molded RPU construction that provides flexible support and draft protection. Inside, a well-padded collar provides comfort and stability, while a die-cut foam insole provides responsive cushioning underfoot. The Express Light 3 has an HB outsole with a deep herringbone tread pattern for excellent traction on clay courts. The highlights of the K-Swiss Express Light 3 Upper made of synthetic leather Textile lining on the shaft edge Molded rubber outsole CMEVA midsole Ortholite insole Lacing",83.95 €,380,119.99 €,"41, 41,5, 42, 42,5, 43, 44, 44,5, 45, 46, 47, 49",https://www.tennis-point.de/products/k-swiss-express-light-3-clay-sandplatzschuh-herren-schwarz-blau-a0000004310401
Diadora,S.Challenge 7,"white, dark blue","Perfect support on the court with the S.Challenge 7 SL Clay The S.Challenge 7 SL Clay from Diadora is the ideal choice for all tennis enthusiasts who value quality and performance. Designed specifically for clay courts, this tennis shoe combines durable synthetic uppers with a flexible and durable rubber sole to ensure maximum stability and slip resistance during intense matches. The innovative construction not only ensures an excellent fit, but also promotes optimal freedom of movement so that every player can play their best tennis. Highlights: Optimized upper material: durable synthetic for the highest demands. Specialized outsole: rubber sole for excellent grip on clay courts. Design for freedom of movement: Supports dynamic movements and improves performance. Discover the difference that quality makes – with the S.Challenge 7 SL Clay.",54.95 €,285,70.00 €,"41, 42, 42,5, 43, 44, 44,5, 45, 45,5, 46, 47, 47,5, 48, 49",https://www.tennis-point.de/products/diadora-schallenge-7-sandplatzschuh-herren-weiss-dunkelblau-p0000003980201
adidas,Barricade 14,black-and-white,"Ready to Control the Court The Barricade 14 tennis shoe is made for players who aren't afraid to dictate the game. Building on legendary successes, this model has been redesigned to combine stability, comfort and durability in a lighter and more dynamic design. The custom-woven mesh upper provides ventilation, stretch and a secure fit. The Lighttraxion outsole reduces weight without compromising grip on hard courts. adidas Repetitor delivers consistent energy return and stability, while the padded collar and tongue provide comfort. The Adituff abrasion zone improves slip control. Your highlights Stability and control Ideal for quick changes of direction. Lightweight, comfortable to wear even during intense matches. Long-lasting performance Constant energy return. Feel the difference and take your game to the next level.",108.95 €,590,160.00 €,"40, 40 2/3, 41 1/3, 42, 42 2/3, 43 1/3, 44, 44 2/3, 45 1/3, 46, 46 2/3, 47 1/3, 48, 48 2/3, 50",https://www.tennis-point.de/products/adidas-barricade-14-sandplatzschuh-herren-schwarz-weiss-00517606840000
Lacoste,AG-LT Ultra Clay Court,"rust, blue","Perfection on the court with the AG-LT Ultra Clay Court Experience unsurpassed performance and style with the AG-LT Ultra Clay Court from Lacoste. These tennis shoes, specially designed for clay courts, offer both maximum comfort and long-lasting quality thanks to their high-quality polyester and textile. The combination of robust rubber outsole and soft EVA insole ensures optimal cushioning and improved traction to achieve the best results on every court. Highlights: Innovative materials: High-quality polyester and textile guarantee durability and comfort. Special sole construction: Robust rubber outsole with EVA insole for optimal performance on clay courts. Stylish design: Classic Lacoste elegance combined with modern functionality makes this shoe an eye-catcher on every tennis court. Set a new standard on the tennis court with the AG-LT Ultra Clay Court from Lacoste!",127.95 €,675,150.00 €,"40, 40,5, 41, 42, 42,5, 43, 44, 44,5, 45, 46, 46,5, 47",https://www.tennis-point.de/products/lacoste-ag-lt-ultra-clay-court-sandplatzschuh-herren-rost-blau-p0000004140501
Wilson,Rush Tour 5,"white, turquoise","Discover your new strength on the court with the RUSH TOUR 5 CLAY Are you looking for a tennis shoe that gives you optimal support on clay courts? The RUSH TOUR 5 CLAY from Wilson is exactly what ambitious tennis players need. This shoe combines premium design with top performance in every game. Thanks to the high-quality textile upper, this shoe offers a perfect balance between comfort and stability, while the special rubber outsole provides excellent grip and facilitates quick, dynamic turns. Whether it's training or a tournament, with the RUSH TOUR 5 CLAY you can take your game to the next level! Highlights: Optimal Fit: Tailored textile upper that provides flexibility and support. Premium traction: Specially developed rubber outsole for maximum traction on clay courts. Longevity and comfort: High-quality materials guarantee durability and comfort during every game. Let the RUSH TOUR 5 CLAY become your indispensable companion on the tennis court and experience how it changes your game.",179.95 €,915,200.00 €,"40, 40 2/3, 41 1/3, 42, 42 2/3, 43 1/3, 44, 44 2/3, 45 1/3, 46, 46 2/3, 47 1/3, 48, 49 1/3",https://www.tennis-point.de/products/wilson-rush-tour-5-sandplatzschuh-herren-weiss-tuerkis-p0000004120801
K-Swiss,Court Express 2,black-and-white,"Dynamic shoe for top performance on clay The K-Swiss Court Express 2 clay court shoe for men is the ideal choice for ambitious tennis players who want to give their best on clay courts. With its well-thought-out construction, it offers stability, comfort and optimal traction to take your game to the next level. The durable sole ensures excellent grip on sand, while the breathable upper material guarantees a pleasant foot climate. The combination of white and dark blue gives the shoe a modern, sporty look. Thanks to the light but robust construction, you can fully concentrate on your game. Highlights at a glance: Special clay court sole: Perfect grip for maximum control and mobility. Breathable design: Keeps your feet fresh even during intense matches. Comfortable fit: Optimal fit for long periods of wear without pressure points. The K-Swiss Court Express 2 clay court shoe is the perfect partner for your game - powerful, comfortable and always stylish!",49.95 €,260,79.99 €,"39,5, 40, 41, 41,5, 42, 42,5, 43, 44, 44,5, 45, 46, 47",https://www.tennis-point.de/products/k-swiss-court-express-2-sandplatzschuh-herren-schwarzweiss-01417102472000
